country,start,end,scope,cause,type
FRA,2025-07-17T05:15:00Z,2025-07-17T07:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-07-12T05:15:00Z,2025-07-12T07:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-07-10T12:00:00Z,2025-07-10T15:00:00Z,"Sudatel, SDN Mobitel, MTN",GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-07-09T12:00:00Z,2025-07-09T15:00:00Z,"Sudatel, SDN Mobitel, MTN",GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-07-09T05:15:00Z,2025-07-09T06:30:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-07-08T12:00:00Z,2025-07-08T15:00:00Z,"Sudatel, SDN Mobitel, MTN",GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-07-07T15:45:00Z,2025-07-07T18:00:00Z,Claro,CABLE_CUT,NETWORK
FRA,2025-07-07T14:30:00Z,2025-07-11T03:15:00Z,Orange Egypt,FIRE,NATIONWIDE
FRA,2025-07-07T14:30:00Z,2025-07-09T00:00:00Z,Etisalat,FIRE,NATIONWIDE
FRA,2025-07-07T14:30:00Z,2025-07-10T00:00:00Z,"Raya, Mobinil",FIRE,NATIONWIDE
FRA,2025-07-07T12:00:00Z,2025-07-07T15:00:00Z,"Sudatel, SDN Mobitel, MTN",GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-07-06T03:30:00Z,2025-07-06T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
FRA,2025-07-05T21:15:00Z,2025-07-06T00:00:00Z,,UNKNOWN,NATIONWIDE
FRA,2025-07-04T10:00:00Z,2025-07-04T20:00:00Z,,POWER_OUTAGE,NATIONWIDE
FRA,2025-07-03T05:15:00Z,2025-07-03T06:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-07-03T03:00:00Z,2025-07-03T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-07-02T03:30:00Z,2025-07-02T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
FRA,2025-07-02T03:00:00Z,2025-07-02T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-07-01T11:30:00Z,2025-07-01T18:00:00Z,Airtel Tanzania,POWER_OUTAGE,NETWORK
FRA,2025-07-01T03:00:00Z,2025-07-01T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-29T05:15:00Z,2025-06-29T06:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-29T03:30:00Z,2025-06-29T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
FRA,2025-06-29T03:00:00Z,2025-06-29T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-28T03:00:00Z,2025-06-28T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-25T03:30:00Z,2025-06-25T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
FRA,2025-06-25T03:00:00Z,2025-06-25T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-24T12:30:00Z,2025-06-24T14:00:00Z,Airtel Malawi,CABLE_CUT,NETWORK
FRA,2025-06-24T05:15:00Z,2025-06-24T06:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-23T03:00:00Z,2025-06-23T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-22T03:30:00Z,2025-06-22T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
FRA,2025-06-22T03:00:00Z,2025-06-22T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-21T05:15:00Z,2025-06-21T06:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-21T03:00:00Z,2025-06-21T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-19T21:45:00Z,2025-06-20T00:00:00Z,CenturyLink,TECHNICAL_PROBLEM,NETWORK
FRA,2025-06-19T03:00:00Z,2025-06-19T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-18T12:50:00Z,2025-06-25T05:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-18T03:00:00Z,2025-06-18T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-17T14:00:00Z,2025-06-17T15:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-17T14:00:00Z,2025-06-18T06:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-17T14:00:00Z,2025-06-17T15:30:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-17T14:00:00Z,2025-06-17T22:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-17T14:00:00Z,2025-06-17T20:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-17T03:00:00Z,2025-06-17T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-16T09:00:20Z,2025-06-16T21:00:00Z,SFR,TECHNICAL_PROBLEM,NETWORK
FRA,2025-06-16T03:00:00Z,2025-06-16T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-14T18:00:00Z,2025-06-15T14:00:00Z,Flow Curaçao,POWER_OUTAGE,NETWORK
FRA,2025-06-14T03:00:00Z,2025-06-14T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-13T07:15:00Z,2025-06-13T09:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-11T03:30:00Z,2025-06-11T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
FRA,2025-06-10T08:15:00Z,2025-06-10T10:15:00Z,,UNKNOWN,NATIONWIDE
FRA,2025-06-06T17:40:00Z,2025-06-06T19:45:00Z,,UNKNOWN,NATIONWIDE
FRA,2025-06-04T03:30:00Z,2025-06-04T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
FRA,2025-06-02T03:00:00Z,2025-06-02T05:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-06-01T07:30:00Z,2025-06-01T13:00:00Z,Greater Malé region,POWER_OUTAGE,REGIONAL
FRA,2025-06-01T03:30:00Z,2025-06-01T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
FRA,2025-05-31T03:00:00Z,2025-05-31T05:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-05-30T14:15:00Z,2025-05-30T17:00:00Z,Digicel Haiti,UNKNOWN,NETWORK
FRA,2025-05-28T21:00:00Z,2025-05-29T00:45:00Z,Digicel Haiti,CABLE_CUT,NETWORK
FRA,2025-05-28T05:00:00Z,2025-06-05T00:00:00Z,ASVT,CYBERATTACK,NETWORK
FRA,2025-05-28T03:00:00Z,2025-05-28T05:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-05-26T03:00:00Z,2025-05-26T05:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-05-24T03:00:00Z,2025-05-24T05:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-05-22T03:00:00Z,2025-05-22T08:00:00Z,TrueMove H network,UNKNOWN,NETWORK
FRA,2025-05-22T03:00:00Z,2025-05-22T05:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-05-21T13:15:00Z,2025-05-21T14:15:00Z,Bell Internet,TECHNICAL_PROBLEM,NETWORK
FRA,2025-05-20T03:00:00Z,2025-05-20T05:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2025-05-20T00:15:19Z,2025-05-20T10:15:00Z,Telefónica and Digi Spain,MAINTENANCE,NETWORK
FRA,2025-05-18T03:00:00Z,2025-05-18T04:45:00Z,,POWER_OUTAGE,NATIONWIDE
FRA,2025-05-17T02:00:00Z,2025-05-17T11:30:00Z,Giga Communication,GOVERNMENT_DIRECTED,NETWORK
FRA,2025-05-16T18:30:00Z,2025-05-16T23:45:00Z,Libyan International Telecommunication Company,GOVERNMENT_DIRECTED,NETWORK
FRA,2025-05-16T14:45:00Z,2025-05-17T00:00:00Z,Giga Communication,GOVERNMENT_DIRECTED,NETWORK
FRA,2025-05-16T14:00:00Z,2025-05-17T01:30:00Z,LNETLICT,GOVERNMENT_DIRECTED,NETWORK
FRA,2025-05-16T13:30:00Z,2025-05-17T00:30:00Z,Aljeel-net,GOVERNMENT_DIRECTED,NETWORK
FRA,2025-05-16T13:30:00Z,2025-05-17T00:15:00Z,AWAL TELECOM & TECHNOLOGY,GOVERNMENT_DIRECTED,NETWORK
FRA,2025-05-09T17:00:00Z,2025-05-09T20:15:00Z,,POWER_OUTAGE,NATIONWIDE
FRA,2025-05-07T19:15:00Z,2025-05-08T03:00:00Z,Sky Broadband,UNKNOWN,NETWORK
FRA,2025-05-06T00:30:00Z,2025-05-06T09:15:00Z,MTN Nigeria,TECHNICAL_PROBLEM,NETWORK
FRA,2025-04-28T12:15:00Z,2025-04-28T23:30:00Z,Maroc Telecom,POWER_OUTAGE,NETWORK
FRA,2025-04-28T10:30:00Z,2025-04-29T00:00:00Z,,POWER_OUTAGE,NATIONWIDE
FRA,2025-04-16T16:40:00Z,2025-04-18T15:00:00Z,,POWER_OUTAGE,NATIONWIDE
FRA,2025-04-11T00:00:00Z,2025-04-11T11:00:00Z,Hong Kong Broadband Network,CABLE_CUT,NETWORK
FRA,2025-04-10T11:30:00Z,2025-04-10T14:30:00Z,,POWER_OUTAGE,NATIONWIDE
FRA,2025-04-01T06:30:00Z,2025-04-01T07:15:00Z,Telia Finland,UNKNOWN,NETWORK
FRA,2025-03-28T06:15:00Z,2025-04-01T00:00:00Z,,NATURAL_DISASTER,NATIONWIDE
FRA,2025-03-24T23:40:00Z,2025-03-25T10:15:00Z,,CABLE_CUT,NATIONWIDE
FRA,2025-03-16T04:30:00Z,2025-03-16T11:08:00Z,,POWER_OUTAGE,NATIONWIDE
FRA,2025-03-15T00:15:00Z,2025-03-17T00:00:00Z,,POWER_OUTAGE,NATIONWIDE
FRA,2025-03-11T04:00:00Z,2025-03-11T05:45:00Z,,TECHNICAL_PROBLEM,NETWORK
FRA,2025-03-01T15:30:00Z,2025-03-01T17:30:00Z,,POWER_OUTAGE,NATIONWIDE
FRA,2025-02-28T10:00:00Z,2025-03-04T04:00:00Z,,WEATHER,NATIONWIDE
FRA,2025-02-25T18:15:00Z,2025-02-26T06:00:00Z,"VTR Global, Movistar, Pacifico Cable",POWER_OUTAGE,NATIONWIDE
FRA,2025-02-10T06:20:00Z,2025-02-10T15:00:00Z,"TPG Telecoms, AAPT Limited, iiNet/Internode, Soul Communications, Pipe Networks, Intrapower",POWER_OUTAGE,NETWORK
FRA,2025-02-09T05:45:00Z,2025-02-09T15:30:00Z,,POWER_OUTAGE,NATIONWIDE
FRA,2025-02-03T11:15:00Z,2025-02-03T20:00:00Z,,UNKNOWN,NATIONWIDE
FRA,2025-02-02T15:15:00Z,2025-02-02T16:45:00Z,Muliple Nepali networks,CABLE_CUT,NATIONWIDE
FRA,2025-01-27T17:30:00Z,2025-01-27T21:55:00Z,Magticom,TECHNICAL_PROBLEM,NETWORK
FRA,2025-01-24T06:30:42Z,2025-01-28T14:00:00Z,,WEATHER,REGIONAL
FRA,2025-01-23T21:15:00Z,2025-01-24T05:45:00Z,,CABLE_CUT,NATIONWIDE
FRA,2025-01-15T15:15:00Z,2025-01-15T16:00:00Z,Digicel Haiti,FIRE,NETWORK
FRA,2025-01-15T01:30:00Z,2025-01-15T02:45:00Z,Digicel Haiti,FIRE,NETWORK
FRA,2025-01-14T14:00:00Z,2025-01-14T14:30:00Z,"MTS, Rostelecom, Bee, MegaFon, K-Telecom",UNKNOWN,NATIONWIDE
FRA,2025-01-07T00:00:00Z,2025-01-08T16:00:00Z,NODEX,CYBERATTACK,NETWORK
FRA,2025-01-06T13:45:00Z,2025-01-06T21:00:00Z,,POWER_OUTAGE,NATIONWIDE
FRA,2025-01-02T13:00:00Z,2025-01-04T12:00:00Z,,CABLE_CUT,NATIONWIDE
FRA,2024-12-31T09:15:00Z,2025-01-02T13:00:00Z,,POWER_OUTAGE,NATIONWIDE
FRA,2024-12-31T00:00:00Z,2025-01-01T06:00:00Z,Eutelsat/OneWeb,TECHNICAL_PROBLEM,NETWORK
FRA,2024-12-17T21:15:00Z,2024-12-18T04:35:00Z,,POWER_OUTAGE,NATIONWIDE
FRA,2024-12-17T01:45:00Z,2024-12-26T12:00:00Z,,NATURAL_DISASTER,NATIONWIDE
FRA,2024-12-14T06:00:00Z,2025-05-01T00:00:00Z,,WEATHER,NATIONWIDE
FRA,2024-12-10T04:10:00Z,2024-12-10T07:15:00Z,Tusass (f/k/a Tele Greenland),MAINTENANCE,NATIONWIDE
FRA,2024-12-04T07:15:00Z,2024-12-05T05:30:00Z,,POWER_OUTAGE,NATIONWIDE
FRA,2024-12-03T00:25:00Z,2024-12-03T03:20:00Z,Salt Mobile,MAINTENANCE,NETWORK
FRA,2024-11-29T16:30:00Z,2024-11-30T18:45:00Z,Airtel Niger,CABLE_CUT,NETWORK
FRA,2024-11-28T05:00:08Z,2024-12-09T18:00:00Z,"Kherson Oblast, Mykolaiv, Rivne, Lviv, Ternopil, Sumy, and Kirovohrad",MILITARY_ACTION,REGIONAL
FRA,2024-11-17T05:30:53Z,2024-11-23T00:00:00Z,"Odessa, Zaporizhzhia, Sumy",POWER_OUTAGE,REGIONAL
FRA,2024-11-12T05:28:00Z,2024-11-12T08:23:00Z,Verizon,UNKNOWN,NETWORK
FRA,2024-11-09T01:00:00Z,2024-11-09T05:00:00Z,,MILITARY_ACTION,NATIONWIDE
FRA,2024-11-07T17:30:00Z,2024-11-08T04:45:00Z,"Movitel, Vodacom",GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2024-11-06T19:30:00Z,2024-11-09T18:00:00Z,,WEATHER,NATIONWIDE
FRA,2024-11-06T17:30:00Z,2024-11-07T04:45:00Z,"Movitel, Vodacom, TDM",GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2024-11-05T18:45:00Z,2024-11-06T04:45:00Z,"TDM, Movitel, Vodacom",GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2024-11-04T17:45:00Z,2024-11-05T05:00:00Z,"TDM, Movitel, Vodacom",GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2024-11-03T18:30:00Z,2024-11-04T06:00:00Z,"TDM, Movitel, Vodacom",GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2024-10-25T12:30:00Z,2024-10-26T22:00:00Z,,POWER_OUTAGE,NATIONWIDE
FRA,2024-10-25T11:30:00Z,2024-10-26T05:30:00Z,Vodacom,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2024-10-25T10:45:00Z,2024-10-26T05:30:00Z,Movitel,GOVERNMENT_DIRECTED,NATIONWIDE
FRA,2024-10-25T09:45:00Z,2024-10-26T06:15:00Z,Telecomunicacoes de Mocambique,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-10-23T03:45:00Z,2025-10-23T21:00:00Z,,CABLE_CUT,NATIONWIDE
CIV,2025-10-22T08:15:00Z,2025-10-22T12:15:00Z,Fastweb,TECHNICAL_PROBLEM,NETWORK
CIV,2025-10-20T12:30:00Z,2025-10-20T21:00:00Z,StormFiber/Cybernet,CABLE_CUT,NETWORK
CIV,2025-10-16T18:30:00Z,2025-10-16T22:00:00Z,Digicel Haiti,CABLE_CUT,NETWORK
CIV,2025-10-13T14:00:00Z,2025-10-13T16:00:00Z,Vodafone UK,TECHNICAL_PROBLEM,NETWORK
CIV,2025-10-03T02:00:00Z,2025-10-03T10:00:00Z,Smartfren,TECHNICAL_PROBLEM,NETWORK
CIV,2025-09-29T12:38:00Z,2025-10-01T11:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-09-29T11:33:00Z,2025-09-29T11:53:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-09-27T08:00:00Z,2025-09-27T14:00:00Z,Telkom,CABLE_CUT,NETWORK
CIV,2025-09-26T18:15:00Z,2025-09-26T20:00:00Z,Spectrum Texas,CABLE_CUT,NETWORK
CIV,2025-09-24T09:15:00Z,2025-09-24T12:15:00Z,Transworld,TECHNICAL_PROBLEM,NETWORK
CIV,2025-09-24T09:15:00Z,2025-09-24T10:45:00Z,Nayatel,TECHNICAL_PROBLEM,NETWORK
CIV,2025-09-16T11:15:00Z,2025-09-16T18:30:00Z,,POWER_OUTAGE,NATIONWIDE
CIV,2025-09-15T04:00:00Z,2025-09-15T05:00:00Z,SpaceX Starlink,UNKNOWN,NETWORK
CIV,2025-09-11T03:00:00Z,2025-09-11T05:00:00Z,"Asiacell, Halasat, HulumTele, Zainas, Earthlink",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-09-10T15:00:00Z,2025-09-10T16:30:00Z,RSAWEB,UNKNOWN,NETWORK
CIV,2025-09-10T13:15:00Z,2025-09-11T17:24:00Z,,POWER_OUTAGE,NATIONWIDE
CIV,2025-09-10T03:00:00Z,2025-09-10T05:00:00Z,"Asiacell, Halasat, HulumTele, Zainas, Earthlink",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-09-09T03:00:00Z,2025-09-09T05:00:00Z,"Asiacell, Halasat, HulumTele, Zainas, Earthlink",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-09-08T03:30:00Z,2025-09-08T04:30:00Z,"Kurdistan region: KorekTel, IQ Online, KNET, Newroz Telecom",GOVERNMENT_DIRECTED,REGIONAL
CIV,2025-09-08T03:00:00Z,2025-09-08T05:00:00Z,"Asiacell, Halasat, HulumTele, Zainas, Earthlink",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-09-07T03:00:00Z,2025-09-07T05:00:00Z,"Asiacell, Halasat, HulumTele, Zainas, Earthlink",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-09-06T12:00:00Z,2025-09-06T20:00:00Z,Punjab & Sindh,CABLE_CUT,REGIONAL
CIV,2025-09-06T12:00:00Z,2025-09-06T20:00:00Z,Punjab Sindh,CABLE_CUT,REGIONAL
CIV,2025-09-06T11:00:00Z,2025-09-06T22:00:00Z,"Du, Etisalat",CABLE_CUT,NETWORK
CIV,2025-09-06T03:30:00Z,2025-09-06T04:30:00Z,"Kurdistan region: KorekTel, IQ Online, KNET, Newroz Telecom",GOVERNMENT_DIRECTED,REGIONAL
CIV,2025-09-06T03:00:00Z,2025-09-06T05:00:00Z,"Asiacell, Halasat, HulumTele, Zainas, Earthlink",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-09-03T03:30:00Z,2025-09-03T04:30:00Z,"Kurdistan region: KorekTel, IQ Online, KNET, Newroz Telecom",GOVERNMENT_DIRECTED,REGIONAL
CIV,2025-09-03T03:00:00Z,2025-09-03T05:00:00Z,"Asiacell, Halasat, HulumTele, Zainas, Earthlink",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-09-02T03:00:00Z,2025-09-02T05:00:00Z,"Asiacell, Halasat, HulumTele, Zainas, Earthlink",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-09-01T03:30:00Z,2025-09-01T04:30:00Z,"Kurdistan region: KorekTel, IQ Online, KNET, Newroz Telecom",GOVERNMENT_DIRECTED,REGIONAL
CIV,2025-09-01T03:00:00Z,2025-09-01T05:00:00Z,"Asiacell, Halasat, HulumTele, Zainas, Earthlink",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-08-31T03:00:00Z,2025-08-31T05:00:00Z,"Asiacell, Halasat, HulumTele, Zainas, Earthlink",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-08-30T03:30:00Z,2025-08-30T04:30:00Z,"Kurdistan region: KorekTel, IQ Online, KNET, Newroz Telecom",GOVERNMENT_DIRECTED,REGIONAL
CIV,2025-08-30T03:00:00Z,2025-08-30T05:00:00Z,"Asiacell, Halasat, HulumTele, Zainas, Earthlink",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-08-28T03:00:00Z,2025-08-28T05:00:00Z,"Asiacell, Halasat, HulumTele, Zainas, Earthlink",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-08-27T06:45:00Z,2025-08-27T23:45:00Z,,POWER_OUTAGE,NATIONWIDE
CIV,2025-08-27T03:30:00Z,2025-08-27T04:30:00Z,"Kurdistan region: KorekTel, IQ Online, KNET, Newroz Telecom",GOVERNMENT_DIRECTED,REGIONAL
CIV,2025-08-27T03:00:00Z,2025-08-27T05:00:00Z,"Asiacell, Halasat, HulumTele, Zainas, Earthlink",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-08-26T19:30:00Z,2025-08-26T23:00:00Z,Digicel Haiti,CABLE_CUT,NETWORK
CIV,2025-08-26T03:00:00Z,2025-08-26T05:00:00Z,"Asiacell, Halasat, HulumTele, Zainas, Earthlink",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-08-25T03:30:00Z,2025-08-25T04:30:00Z,"Kurdistan region: KorekTel, IQ Online, KNET, Newroz Telecom",GOVERNMENT_DIRECTED,REGIONAL
CIV,2025-08-23T19:22:00Z,2025-08-23T21:36:00Z,Gotland Island,POWER_OUTAGE,REGIONAL
CIV,2025-08-23T03:30:00Z,2025-08-23T04:30:00Z,"Kurdistan region: KorekTel, IQ Online, KNET, Newroz Telecom",GOVERNMENT_DIRECTED,REGIONAL
CIV,2025-08-19T16:30:00Z,2025-08-19T17:45:00Z,,TECHNICAL_PROBLEM,NATIONWIDE
CIV,2025-08-19T16:10:00Z,2025-08-19T20:45:00Z,"PTCL, Ufone",UNKNOWN,NETWORK
CIV,2025-08-17T03:30:00Z,2025-08-17T08:15:00Z,,POWER_OUTAGE,NATIONWIDE
CIV,2025-08-11T14:15:00Z,2025-08-11T15:00:00Z,YemenNet,CYBERATTACK,NETWORK
CIV,2025-08-09T04:30:00Z,2025-08-09T06:45:00Z,Malé and Hulhumalé,POWER_OUTAGE,REGIONAL
CIV,2025-08-06T16:45:00Z,2025-08-06T17:20:00Z,Claro Colombia,UNKNOWN,NETWORK
CIV,2025-08-03T02:00:00Z,2025-08-03T06:30:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-07-31T02:00:00Z,2025-07-31T06:30:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-07-29T23:24:50Z,2025-07-31T10:30:00Z,Kamchatka Peninsula,NATURAL_DISASTER,REGIONAL
CIV,2025-07-28T02:00:00Z,2025-07-28T07:15:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-07-24T19:13:00Z,2025-07-24T21:28:00Z,Starlink,TECHNICAL_PROBLEM,NETWORK
CIV,2025-07-21T05:15:00Z,2025-07-21T08:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-07-19T12:45:00Z,2025-07-19T15:45:00Z,,CABLE_CUT,NATIONWIDE
CIV,2025-07-17T05:15:00Z,2025-07-17T07:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-07-12T05:15:00Z,2025-07-12T07:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-07-10T12:00:00Z,2025-07-10T15:00:00Z,"Sudatel, SDN Mobitel, MTN",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-07-09T12:00:00Z,2025-07-09T15:00:00Z,"Sudatel, SDN Mobitel, MTN",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-07-09T05:15:00Z,2025-07-09T06:30:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-07-08T12:00:00Z,2025-07-08T15:00:00Z,"Sudatel, SDN Mobitel, MTN",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-07-07T15:45:00Z,2025-07-07T18:00:00Z,Claro,CABLE_CUT,NETWORK
CIV,2025-07-07T14:30:00Z,2025-07-11T03:15:00Z,Orange Egypt,FIRE,NATIONWIDE
CIV,2025-07-07T14:30:00Z,2025-07-09T00:00:00Z,Etisalat,FIRE,NATIONWIDE
CIV,2025-07-07T14:30:00Z,2025-07-10T00:00:00Z,"Raya, Mobinil",FIRE,NATIONWIDE
CIV,2025-07-07T12:00:00Z,2025-07-07T15:00:00Z,"Sudatel, SDN Mobitel, MTN",GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-07-06T03:30:00Z,2025-07-06T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
CIV,2025-07-05T21:15:00Z,2025-07-06T00:00:00Z,,UNKNOWN,NATIONWIDE
CIV,2025-07-04T10:00:00Z,2025-07-04T20:00:00Z,,POWER_OUTAGE,NATIONWIDE
CIV,2025-07-03T05:15:00Z,2025-07-03T06:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-07-03T03:00:00Z,2025-07-03T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-07-02T03:30:00Z,2025-07-02T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
CIV,2025-07-02T03:00:00Z,2025-07-02T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-07-01T11:30:00Z,2025-07-01T18:00:00Z,Airtel Tanzania,POWER_OUTAGE,NETWORK
CIV,2025-07-01T03:00:00Z,2025-07-01T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-06-29T05:15:00Z,2025-06-29T06:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-06-29T03:30:00Z,2025-06-29T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
CIV,2025-06-29T03:00:00Z,2025-06-29T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-06-28T03:00:00Z,2025-06-28T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-06-25T03:30:00Z,2025-06-25T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
CIV,2025-06-25T03:00:00Z,2025-06-25T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-06-24T12:30:00Z,2025-06-24T14:00:00Z,Airtel Malawi,CABLE_CUT,NETWORK
CIV,2025-06-24T05:15:00Z,2025-06-24T06:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-06-23T03:00:00Z,2025-06-23T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
CIV,2025-06-22T03:30:00Z,2025-06-22T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
CIV,2025-06-22T03:00:00Z,2025-06-22T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
